provincia;pob_total;pob_hombres;pob_mujeres;pob_total_65;pob_hombres_65;pob_mujeres_65;pob_total_100;pob_hombres_100;pob_mujeres_100;prop_total_65_100;prop_hombres_65_100;prop_mujeres_65_100
01 Araba/Álava;330146;161627;168519;71276;31745;39531;112;10;102;157,14;31,50;258,03
02 Albacete;389032;194482;194551;74728;33359;41367;87;26;61;116,42;77,94;147,46
03 Alicante/Alacant;1889707;936941;952766;384223;174189;210033;365;87;278;95,00;49,95;132,36
04 Almería;717088;362769;354319;111433;50551;60881;109;37;73;97,82;73,19;119,91
05 Ávila;158085;79631;78454;40580;18829;21751;79;18;62;194,68;95,60;285,04
06 Badajoz;670098;331345;338753;132269;58381;73886;145;19;125;109,63;32,54;169,18
07 Balears, Illes;1215018;607874;607144;195738;87978;107760;209;43;166;106,78;48,88;154,05
08 Barcelona;5634270;2733609;2900660;1085439;459398;626041;1278;157;1121;117,74;34,18;179,06
09 Burgos;355016;178118;176897;85525;39028;46499;147;24;122;171,88;61,49;262,37
10 Cáceres;389180;194174;195006;89697;40125;49572;127;41;85;141,59;102,18;171,47
11 Cádiz;1255302;622645;632656;212732;95093;117640;154;36;118;72,39;37,86;100,31
12 Castellón/Castelló;575458;285591;289868;113654;50818;62836;140;30;111;123,18;59,03;176,65
13 Ciudad Real;491682;243658;248024;99206;43061;56146;121;39;83;121,97;90,57;147,83
14 Córdoba;783008;383900;399108;152986;65621;87363;171;45;126;111,77;68,58;144,23
15 Coruña, A;1122867;539135;583732;280807;119571;161235;394;69;325;140,31;57,71;201,57
16 Cuenca;198702;100406;98296;44738;20255;24483;64;15;49;143,06;74,06;200,14
17 Girona;769601;383322;386278;142833;64375;78458;236;46;190;165,23;71,46;242,17
18 Granada;925848;458084;467765;168903;74310;94592;213;62;151;126,11;83,43;159,63
19 Guadalajara;262996;133461;129535;42165;19523;22642;68;12;56;161,27;61,47;247,33
20 Gipuzkoa;716910;348419;368491;164253;70643;93609;177;26;150;107,76;36,80;160,24
21 Huelva;528532;260353;268179;89588;39863;49726;110;28;83;122,78;70,24;166,91
22 Huesca;220709;111541;109168;50166;22741;27423;126;23;103;251,17;101,14;375,60
23 Jaén;627404;311365;316039;122446;53151;69293;93;20;73;75,95;37,63;105,35
24 León;456737;222433;234304;124655;54091;70565;256;56;199;205,37;103,53;282,01
25 Lleida;435988;221271;214717;85717;38278;47439;148;27;121;172,66;70,54;255,06
26 Rioja, La;316129;155743;160386;67356;29997;37359;123;25;98;182,61;83,34;262,32
27 Lugo;327147;158861;168286;95784;42280;53501;220;33;187;229,68;78,05;349,53
28 Madrid;6756291;3238090;3518201;1211451;503680;707771;1855;276;1579;153,12;54,80;223,09
29 Málaga;1686016;827535;858481;300828;135324;165503;384;106;278;127,65;78,33;167,97
30 Murcia;1509229;755165;754064;241397;106569;134828;173;54;119;71,67;50,67;88,26
31 Navarra;657189;324657;332532;131481;58350;73131;184;29;155;139,94;49,70;211,95
32 Ourense;305642;147235;158407;96307;42076;54231;244;40;204;253,36;95,07;376,17
33 Asturias;1015423;485258;530165;266882;112060;154823;367;59;309;137,51;52,65;199,58
34 Palencia;159327;78989;80338;41128;18452;22675;79;15;64;192,08;81,29;282,25
35 Palmas, Las;1154939;574343;580596;181108;82715;98392;239;68;170;131,97;82,21;172,78
36 Pontevedra;942820;456999;485822;216934;92413;124520;374;93;282;172,40;100,64;226,47
37 Salamanca;328839;160031;168808;87687;38639;49048;195;42;153;222,38;108,70;311,94
38 Santa Cruz de Tenerife;1089534;537425;552108;194721;87648;107072;282;87;195;144,82;99,26;182,12
39 Cantabria;582319;283766;298553;130867;56134;74733;220;31;189;168,11;55,22;252,90
40 Segovia;153627;77310;76317;34325;15556;18766;70;11;59;203,93;70,71;314,40
41 Sevilla;1960543;958578;1001965;329694;140895;188799;372;80;292;112,83;56,78;154,66
42 Soria;89396;45410;43986;22491;10404;12087;73;23;50;324,57;221,07;413,67
43 Tarragona;816326;407166;409160;158415;71598;86817;244;54;190;154,03;75,42;218,85
44 Teruel;133092;67477;65615;32090;14865;17225;103;23;81;320,97;154,73;470,25
45 Toledo;700661;353596;347064;126471;57392;69078;218;35;184;172,37;60,98;266,37
46 Valencia/València;2571631;1257460;1314171;499482;214085;285396;626;129;497;125,33;60,26;174,14
47 Valladolid;519824;253525;266299;121699;53509;68191;162;13;148;133,12;24,29;217,04
48 Bizkaia;1142273;549203;593070;267070;112300;154769;292;42;251;109,33;37,40;162,18
49 Zamora;170568;84806;85762;52678;23878;28800;105;37;68;199,32;154,95;236,11
50 Zaragoza;977301;478156;499145;207551;89029;118520;327;59;268;157,55;66,27;226,12
51 Ceuta;83958;42483;41475;10604;4832;5772;20;8;13;188,61;165,56;225,23
52 Melilla;84277;42314;41963;9474;4315;5160;23;7;16;242,77;162,22;310,08
Total Nacional;47353705;23207735;24145968;9301722;4043977;5257746;12703;2475;10232;136,57;61,20;194,61
